ZINC_ID,Glide_5R8T,Glide_5R81,Glide_5REZ,Glide_5RF7,Glide_5RGI,Glide_5RH3,Glide_6LU7_2,Glide_7BUY
C34937138_P51861392,-6.001,-6.176,-6.078,-7.141,-5.538,-5.367,-6.119,-6.407
C44592971_P67294175,-5.618,-6.291,-5.621,-6.449,-5.027,-5.428,-5.593,-6.407
C93668072_P146717222,-5.523,-5.846,-6.172,-5.939,-5.56,-6.342,-6.048,-6.404
C86375867_P135243952,-5.149,-6.546,-5.58,-6.607,-5.468,-5.614,-6.025,-6.393
C61683403_P94476242,-5.18,-6.817,-5.285,-6.863,-5.295,-5.245,-6.837,-6.381
C84266616_P131847972,-3.823,-5.375,-5.023,-5.17,-4.968,-5.343,-5.12,-6.381
C45071791_P67925930,-5.018,-5.312,-5.211,-5.618,-4.778,-5.01,-5.699,-6.38
C39211554_P59410668,-5.598,-6.874,-6.092,-6.512,-5.679,-5.977,-6.203,-6.376
C65348174_P100453905,-4.926,-6.142,-5.872,-6.361,-5.727,-6.9,-5.867,-6.372
C93651810_P146686322,-4.898,-5.522,-4.771,-6.108,-4.825,-5.717,-5.489,-6.372
C33856592_P110673301,-5.706,-5.799,-5.625,-6.34,-4.412,-5.497,-6.29,-6.366
C50398475_P75372348,-4.916,-5.505,-5.263,-6.109,-5.481,-5.452,-6.195,-6.364
C38666795_P58560768,-4.36,-6.783,-6.189,-7.967,-5.118,-4.196,-5.722,-6.364
C16488697_P24906897,-5.329,-7.431,-6.531,-7.169,-5.959,-6.612,-5.576,-6.364
C83097798_P129882787,-5.648,-6.516,-5.563,-6.365,-5.467,-4.873,-5.818,-6.36
C38587592_P58421015,-4.867,-7.92,-6.955,-6.543,-5.293,-5.393,-6.59,-6.359
C36762020_P54641996,-5.395,-5.725,-5.423,-6.122,-5.143,-5.613,-5.692,-6.359
C87794965_P137328762,-5.037,-6.141,-5.755,-6.034,-4.978,-5.467,-5.639,-6.359
C39992575_P60694248,-4.95,-7.41,-6.767,-5.606,-3.976,-4.008,-5.095,-6.359
C39101535_P151029878,-6.032,-6.251,-5.767,-6.404,-5.658,-5.702,-5.074,-6.359
C89188896_P139485243,-5.309,-6.324,-6.512,-6.585,-5.877,-6.863,-6.582,-6.358
C98226612_P156221474,-4.773,-4.745,-5.429,-5.313,-6.765,-4.449,-5.889,-6.358
C27697106_P40828707,-5.277,-7.817,-6.243,-6.021,-5.847,-5.562,-6.546,-6.352
C54911242_P82673900,-4.909,-5.816,-5.848,-5.939,-4.861,-5.321,-6.619,-6.35
C70005893_P107901816,-5.446,-6.782,-6.254,-6.011,-6.111,-5.191,-6.351,-6.35
