ZINC_ID, docking_score,Flag
P156228776,-5.067,0
P54277409,-5.065,0
C70669926_P109028895,-5.062,0
C33496275_P152785524,-5.056,0
C97111044_P153738715,-5.056,0
P61431971,-5.056,0
P151583849,-5.055,0
P56362926,-5.055,0
C72099226_P151231389,-5.054,0
C21084057_P31488323,-5.054,0
P83580694,-5.052,0
C20830946_P31104360,-5.051,0
C96480569_P152366050,-5.051,0
P155784219,-5.049,0
P48216743,-5.049,0
C73836752_P115007574,-5.048,0
P54298510,-5.048,0
C38609927_P61533288,-5.047,0
P89519351,-5.044,0
C59104757_P89627646,-5.042,0
P89187246,-5.042,0
C55332909_P83347405,-5.04,0
P60478209,-5.039,0
C33761840_P50029577,-5.038,0
P37947486,-5.037,0
C60165981_P91842007,-5.036,0
C95976441_P151150159,-5.036,0
C33378918_P49428337,-5.036,0
P73241936,-5.035,0
C09147629_P14031439,-5.034,0
P109060515,-5.032,0
P61605110,-5.032,0
C75995933_P118485060,-5.026,0
P19874535,-5.026,0
C36346180_P54025683,-5.023,0
P18233008,-5.021,0
C35567798_P52786969,-5.019,0
P123697708,-5.019,0
C12529079_P18416922,-5.018,0
P06688294,-5.018,0
P79175438,-5.018,0
C29749237_P155778195,-5.015,0
C20919655_P31234127,-5.015,0
Active_1b,-5.014,1
P96092655,-5.013,0
C96181018_P151536616,-5.012,0
C21075413_P31459149,-5.012,0
P05538581,-5.009,0
C33555986_P49709998,-5.005,0
C33648493_P90095492,-5.004,0
P134680440,-5.004,0
C69593445_P107108720,-5.003,0
C16733124_P35773933,-5.002,0
P135215504,-5.002,0
C97969447_P155582203,-5,0
P36754137,-5,0
P79826361,-4.999,0
P112044320,-4.998,0
P54400358,-4.997,0
C21084018_P31488251,-4.993,0
C13783218_P57424121,-4.989,0
P49727108,-4.989,0
C95081507_P149077817,-4.988,0
P137909970,-4.988,0
C06250885_P09760207,-4.987,0
P51655649,-4.987,0
P20113972,-4.985,0
P49817833,-4.984,0
P99918284,-4.984,0
C19403187_P28692196,-4.983,0
P117054141,-4.98,0
P132942735,-4.98,0
C22976353_P34118463,-4.978,0
P14056398,-4.977,0
C32535787_P48057469,-4.976,0
C20831863_P31104664,-4.972,0
P07276326,-4.972,0
P05262776,-4.97,0
C90168418_P140940900,-4.967,0
C04232149_P156202618,-4.967,0
P30890907,-4.967,0
P155777368,-4.966,0
P65764872,-4.966,0
C09046278_P108643784,-4.965,0
P137977002,-4.965,0
C20837984_P31110085,-4.963,0
P22409026,-4.963,0
P13464491,-4.962,0
C05490369_P83008935,-4.961,0
C25185907_P37233405,-4.958,0
C97951230_P155524578,-4.957,0
C00627063_P37815442,-4.955,0
P124724142,-4.955,0
P135296123,-4.954,0
P75411715,-4.954,0
C22629404_P33605047,-4.952,0
P140832352,-4.95,0
C94739083_P148490090,-4.948,0
C79662795_P124485075,-4.947,0
P09049469,-4.945,0
C55589247_P83732852,-4.944,0
C36619677_P54423621,-4.943,0
C39963746_P60647556,-4.941,0
C21084014_P31488242,-4.941,0
P07691912,-4.941,0
P56534414,-4.94,0
C59603388_P90777191,-4.939,0
P89620396,-4.939,0
C69875505_P107670180,-4.937,0
C14645347_P22461793,-4.936,0
C09462879_P37084779,-4.935,0
C39791815_P96966970,-4.935,0
C35566776_P52783889,-4.934,0
P140498243,-4.934,0
P145340900,-4.932,0
P155545388,-4.931,0
P12969139,-4.93,0
C13125105_P113930709,-4.927,0
P16921859,-4.926,0
P99906134,-4.925,0
P154216834,-4.924,0
C04170221_P05355172,-4.922,0
P56377417,-4.922,0
P112515146,-4.919,0
P22125929,-4.918,0
P21912791,-4.917,0
C20578747_P30714704,-4.915,0
C20229267_P30132595,-4.915,0
P151065857,-4.915,0
C38800701_P58764295,-4.914,0
P156240969,-4.914,0
C20916258_P31254148,-4.913,0
C20833307_P31106208,-4.912,0
P149882933,-4.91,0
P35675022,-4.909,0
P155566628,-4.908,0
P19407770,-4.907,0
C42306068_P63991050,-4.905,0
C08870432_P13622343,-4.904,0
C35566710_P52783814,-4.901,0
C12539214_P20727365,-4.9,0
P139532577,-4.9,0
C20578736_P30714690,-4.899,0
C21037213_P31417539,-4.899,0
Active_3a,-4.899,1
C97596211_P154686808,-4.897,0
C17325911_P28000686,-4.897,0
P54358715,-4.897,0
C21079215_P31474916,-4.896,0
C06266901_P91216883,-4.896,0
P19874593,-4.894,0
P30969910,-4.894,0
C23294071_P34575183,-4.893,0
P109074995,-4.892,0
P152266642,-4.892,0
P56322418,-4.891,0
C38107451_P57296275,-4.888,0
C21081939_P31486113,-4.887,0
C15721284_P156181331,-4.887,0
C33524993_P49659153,-4.886,0
P73371982,-4.886,0
C76945709_P120041626,-4.885,0
C22016859_P32768327,-4.884,0
P154593988,-4.884,0
C35567351_P52784520,-4.883,0
P54893351,-4.882,0
C97604153_P154704219,-4.881,0
P155571971,-4.88,0
C57721859_P86784020,-4.877,0
C08637199_P150498542,-4.876,0
C20676052_P30871202,-4.874,0
P114212872,-4.872,0
C96067329_P151300913,-4.871,0
C00944056_P155614794,-4.87,0
C16805730_P36057402,-4.869,0
C39969009_P97214831,-4.867,0
P148754029,-4.867,0
P133120631,-4.863,0
C33515762_P49645073,-4.862,0
C32535786_P48057466,-4.861,0
P94194466,-4.859,0
C92085319_P144200258,-4.858,0
C71946078_P111649106,-4.858,0
C33771580_P50045032,-4.858,0
C72439133_P112707327,-4.857,0
C59706425_P90984560,-4.857,0
P49380840,-4.856,0
P155565028,-4.855,0
P112543605,-4.854,0
P139985131,-4.854,0
C37258742_P59320415,-4.851,0
P131232893,-4.851,0
P37163322,-4.849,0
C01051951_P56435970,-4.848,0
P102372854,-4.845,0
P54787632,-4.844,0
C69951723_P107809838,-4.843,0
P60620953,-4.843,0
Active_9b,-4.843,1
P148292589,-4.841,0
C59515850_P90603613,-4.838,0
C16805734_P36057414,-4.838,0
C62748526_P96286265,-4.835,0
C13684274_P124056546,-4.835,0
P30337741,-4.834,0
C59461184_P90484282,-4.833,0
P155677238,-4.832,0
P135284123,-4.831,0
C89314824_P139666509,-4.828,0
P148493386,-4.827,0
C97269213_P154037976,-4.826,0
C22918390_P64792632,-4.825,0
P30579198,-4.82,0
P62015741,-4.82,0
C35567326_P52784495,-4.819,0
C45274498_P68217157,-4.818,0
P101135292,-4.818,0
C87836297_P137389812,-4.815,0
C40951518_P62195975,-4.813,0
C19923866_P29634027,-4.813,0
C70672037_P109034875,-4.812,0
P125208387,-4.812,0
P31497288,-4.812,0
C97966975_P155573900,-4.811,0
C67641529_P103854261,-4.81,0
C38610554_P61534408,-4.809,0
P52895886,-4.808,0
P58442727,-4.807,0
P58783695,-4.807,0
C46908080_P70407374,-4.806,0
C89423569_P139802627,-4.805,0
P82382726,-4.804,0
C35567789_P52786961,-4.8,0
P96543299,-4.799,0
C98047968_P155779212,-4.796,0
P155557268,-4.796,0
C33813405_P50105032,-4.793,0
P142878653,-4.793,0
P28545000,-4.793,0
