Ligand,Score,Flag
ZINC000000019687,-6.39283323,0
ZINC000000022579,-6.39132023,0
ZINC000000035785,-6.39058447,0
ZINC000000009771,-6.38797379,0
ZINC000000860104,-6.38489532,0
ZINC000000025913,-6.38017273,0
ZINC000000040058,-6.37922049,0
ZINC000000006344,-6.3790822,0
ZINC000000020519,-6.3788147,0
ZINC000000042074,-6.37279749,0
ZINC000000033624,-6.37253571,0
ZINC000000027758,-6.37055683,0
ZINC000000027789,-6.36820126,0
ZINC000000046718,-6.36414576,0
ZINC000000013603,-6.35251284,0
ZINC000000009880,-6.3510437,0
ZINC000000024132,-6.34311676,0
ZINC000000001250,-6.34119129,0
ZINC000000002416,-6.34042978,0
ZINC000000050575,-6.32841539,0
ZINC000000028590,-6.32503128,0
ZINC000000036739,-6.32381058,0
ZINC000000005522,-6.32357788,0
ZINC000000039503,-6.31765842,0
ZINC000000022173,-6.31235981,0
ZINC000000010719,-6.31081772,0
ZINC000000003975,-6.30700207,0
ZINC000000035549,-6.29106092,0
ZINC000000029871,-6.289217,0
ZINC000000004184,-6.28827381,0
ZINC000000001876,-6.28679752,0
ZINC000000004841,-6.28642464,0
ZINC000000003901,-6.28375912,0
ZINC000000001130,-6.28325176,0
ZINC000000018331,-6.28208971,0
ZINC000000004728,-6.28076363,0
ZINC000000105546,-6.26804304,0
ZINC000000024499,-6.26706696,0
ZINC000000019099,-6.2618289,0
ZINC000000010718,-6.26106024,0
ZINC000000012103,-6.25799656,0
ZINC000000004029,-6.25543261,0
ZINC000000031294,-6.25226212,0
ZINC000000006582,-6.25170898,0
ZINC000000042141,-6.24092102,0
ZINC000000001869,-6.24039316,0
ZINC000000032351,-6.23888254,0
ZINC000000000603,-6.23724556,0
ZINC000000002754,-6.23568535,0
ZINC000000035443,-6.23394918,0
ZINC000000039883,-6.23283291,0
ZINC000000002922,-6.22741842,0
ZINC000000099026,-6.22482538,0
ZINC000000044494,-6.2221427,0
ZINC000000051677,-6.21886635,0
ZINC000000004100,-6.2153635,0
ZINC000000002689,-6.20174789,0
ZINC000000008492,-6.2010951,0
ZINC000000027317,-6.19519901,0
ZINC000000046842,-6.1885891,0
ZINC000000027631,-6.18431425,0
ZINC000000005505,-6.18388414,0
ZINC000000062265,-6.18307018,0
ZINC000000032975,-6.17516518,0
ZINC000000053638,-6.16629982,0
ZINC000000039598,-6.1649394,0
ZINC000000005359,-6.15925741,0
ZINC000000001309,-6.15749788,0
ZINC000000002291,-6.15022373,0
ZINC000000000140,-6.14272785,0
ZINC000000039641,-6.1425252,0
ZINC000000004341,-6.14181376,0
