Compound,Best,Flag
C09497314_P30045613,-8.28111935,0
C01808394_P155383903,-8.27656174,0
C95360578_P149777849,-8.27577591,0
C02869372_P90795380,-8.27547264,0
C08743467_P57093939,-8.27415466,0
C13510203_P20803017,-8.27359486,0
C12437917_P33526892,-8.27100849,0
C13748989_P21163956,-8.27069664,0
C01080096_P06322873,-8.26951218,0
C09531332_P128168523,-8.2679739,0
C65241204_P100249678,-8.26475239,0
C05544564_P19938803,-8.26331806,0
C98045798_P155775537,-8.26296997,0
C96367425_P152057297,-8.26026917,0
C71752913_P111156444,-8.25764942,0
C65396977_P100542028,-8.25717831,0
C00971486_P05891685,-8.25224304,0
C01783264_P09111547,-8.25092316,0
C01756942_P06068355,-8.24966526,0
C90152090_P140908835,-8.24838924,0
C20233787_P30139193,-8.24807739,0
C09500356_P57672053,-8.24401283,0
C06023533_P49339041,-8.24301338,0
C98125357_P155985996,-8.24195671,0
C95541799_P155313391,-8.24190617,0
C05669961_P08457588,-8.23932552,0
C02787483_P10279858,-8.23843479,0
C02344096_P17545422,-8.23558617,0
C96319618_P151907923,-8.23511124,0
C11264758_P16982592,-8.23339367,0
C72445593_P112710342,-8.23012161,0
C13550531_P59665703,-8.22445965,0
C98006932_P155668641,-8.2227726,0
C04788349_P20196164,-8.22146797,0
C10013475_P15288071,-8.22110653,0
C98209759_P156179461,-8.21943951,0
C90655275_P141789155,-8.21886444,0
C70205233_P108217190,-8.21667957,0
C20218098_P30105722,-8.21553707,0
C00778300_P09192392,-8.21434784,0
C08452016_P12835322,-8.21394634,0
C78695578_P122803767,-8.21338272,0
Sulfone_103-2GZ7,-8.2125597,1
C91690905_P143536609,-8.21116066,0
C04807944_P130309983,-8.2064743,0
C09546631_P83018311,-8.20359421,0
C04578912_P06274482,-8.20358562,0
C00711451_P97015018,-8.20268726,0
C41586570_P96684385,-8.20008373,0
C09275637_P25806011,-8.19997597,0
C43460637_P65724328,-8.19415379,0
C68601733_P105280508,-8.19372559,0
C33424045_P49501924,-8.19365692,0
C17098069_P57736046,-8.18760777,0
C09308455_P19804844,-8.1867075,0
C01079526_P06314034,-8.18591213,0
C65440951_P100628095,-8.18566895,0
C88240946_P137996015,-8.18345165,0
C57990496_P87298588,-8.1833744,0
C88201066_P137929115,-8.18153095,0
C19839293_P29481667,-8.18061924,0
C98211640_P156183665,-8.17956161,0
C20290968_P90634160,-8.17641926,0
C71850542_P111451509,-8.17633629,0
C20706179_P30910690,-8.17606163,0
C83313286_P130258071,-8.17556095,0
C03133860_P05146128,-8.17458725,0
C16688231_P151197192,-8.17337322,0
C36556891_P54334854,-8.17321491,0
C01433162_P09941634,-8.17205143,0
C64787873_P99579213,-8.16900826,0
C65999725_P101545575,-8.16825199,0
C13345866_P20499661,-8.16723251,0
C33676332_P151099795,-8.16700649,0
C96099882_P151368561,-8.16610432,0
C33247756_P49169015,-8.16571522,0
C96037925_P151256776,-8.16495991,0
C14972437_P59874900,-8.16494179,0
C46797235_P88904569,-8.16371632,0
C65315345_P100390084,-8.1622591,0
C43736481_P66107841,-8.16162968,0
C20604250_P30738306,-8.15989017,0
C15972636_P92126667,-8.15939999,0
C02909572_P30951773,-8.15898323,0
C15054228_P82250530,-8.15843296,0
C97955853_P155542817,-8.15731525,0
C13205452_P19879814,-8.15604687,0
C13566146_P20893792,-8.15489483,0
C02520418_P05617066,-8.15123558,0
C28891458_P42482566,-8.15016747,0
C12389805_P18206140,-8.15005016,0
C63458004_P97444064,-8.14569569,0
C21005585_P91133245,-8.14314461,0
C41585770_P96674232,-8.14171219,0
C02726954_P29473601,-8.14100933,0
C39933806_P152598536,-8.1406908,0
C12236542_P17985098,-8.1387682,0
C85664798_P134111011,-8.1379776,0
C96491655_P152431268,-8.13733578,0
Thiophene_108-2GZ7,-8.13733101,1
C01084833_P08346789,-8.13602734,0
C32905087_P48707835,-8.13371563,0
C13643251_P21003451,-8.13332844,0
C78188223_P121941069,-8.13130569,0
C36888292_P54832916,-8.1308794,0
C02138015_P12795027,-8.12804794,0
C33169541_P49066597,-8.1276722,0
C22672709_P33656931,-8.12649155,0
C94264814_P147733495,-8.12489891,0
C43736483_P66107843,-8.12187386,0
C68601727_P149111101,-8.12095833,0
C02531946_P156198826,-8.12074852,0
C36370418_P54061203,-8.11741638,0
C93325198_P146113319,-8.11628914,0
C39702719_P60185832,-8.11485863,0
C05026101_P07390326,-8.11429691,0
C08272152_P12517176,-8.11285686,0
C50616187_P75701769,-8.11126804,0
C13075161_P29337789,-8.1080122,0
C32927090_P48743374,-8.10580635,0
C09659486_P74773911,-8.10475063,0
C33561839_P151061361,-8.10149193,0
C06101517_P154396994,-8.10097218,0
C39853670_P60474530,-8.10074329,0
C04922726_P07382874,-8.10046768,0
C94264476_P147733156,-8.09960938,0
C03090106_P152676485,-8.0959549,0
C39489931_P59861441,-8.09298325,0
C04362001_P05800995,-8.09204674,0
C14151852_P89671973,-8.08742523,0
C96956602_P153452989,-8.0869894,0
C13144370_P56501023,-8.08608913,0
C06485592_P19366544,-8.08477688,0
C08973034_P112614762,-8.08466816,0
C38596192_P58421628,-8.08235836,0
C24044436_P35660324,-8.08213711,0
C15882144_P23977307,-8.08177948,0
C15882144_P23979733,-8.08177948,0
C59946963_P91440631,-8.0813446,0
C06728258_P10630661,-8.08035946,0
C20153518_P30018115,-8.07949352,0
C16936195_P25497093,-8.07940006,0
C17076120_P74941480,-8.07921791,0
C05814729_P91455363,-8.07904053,0
C01764310_P12760984,-8.07684612,0
C25577538_P37805880,-8.07524204,0
C98268302_P156307442,-8.07369709,0
C05209124_P19972468,-8.07328606,0
C13218421_P19935503,-8.07246017,0
C10687065_P16130523,-8.07232857,0
C06751403_P13676440,-8.06637573,0
C12208082_P17954766,-8.06626797,0
C14665065_P22390046,-8.06606388,0
C09281681_P155888803,-8.06266785,0
C02261940_P19767137,-8.06069374,0
C33277365_P49212494,-8.06046486,0
C13129804_P131668619,-8.05919456,0
C02198487_P57363897,-8.0576458,0
C22852612_P33945710,-8.05622101,0
C00673636_P29456688,-8.05436611,0
C33306607_P49260969,-8.05157948,0
C39911592_P60558463,-8.05129433,0
C95936892_P151064381,-8.04822636,0
Isatin_77-2GZ7,-8.04790497,1
C22847566_P89819307,-8.04679775,0
C33747897_P152269713,-8.04666901,0
C72404214_P112620152,-8.04602146,0
